country,name,full_name,isin,currency,symbol,Type,Avg_Volume,Recommendation
brazil,ABC BRASIL PN,Banco ABC Brasil SA,BRABCBACNPR4,BRL,ABCB4,PN,556371.0,none
brazil,Fras Le SA,Fras Le SA,BRFRASACNOR0,BRL,FRAS3,ON,550923.0,buy
brazil,ITAUUNIBANCO ON,Itau Unibanco Holding SA ON,BRITUBACNOR4,BRL,ITUB3,ON,545239.0,none
brazil,EVEN ON,Even Construtora e Incorporadora SA,BREVENACNOR8,BRL,EVEN3,ON,538884.0,none
brazil,USIMINAS ON,Usinas Siderurgicas de Minas Gerais,BRUSIMACNOR3,BRL,USIM3,ON,532181.0,none
brazil,VALORA RE III FII,VALORA RE III FI IMOBILIARIO,BRVGIRCTF008,BRL,VGIR11,FII/Unit,524656.0,none
brazil,Banco BMG ON,Banco BMG ON,BRBMGBACNPR0,BRL,BMGB4,PN,510298.0,none
brazil,JSL ON,JSL SA,BRJSLGACNOR2,BRL,JSLG3,ON,489339.0,strong_buy
brazil,Schulz SA,Schulz SA,BRSHULACNPR4,BRL,SHUL4,PN,429381.0,none
brazil,Dimed,Dimed SA Distribuidora De Medicamentos,BRPNVLACNOR9,BRL,PNVL3,ON,427528.0,buy
brazil,GGR Covepi Renda FII,GGR Covepi Renda Fundo de Investimento Imobiliario,BRGGRCCTF002,BRL,GGRC11,FII/Unit,421632.0,none
brazil,Intel Corp BDR,Intel Corp BDR,BRITLCBDR005,BRL,ITLC34,BDR,421108.0,none
brazil,Taurus Armas PN,Taurus Armas PN,BRTASAACNPR4,BRL,TASA4,PN,401689.0,none
brazil,KLABIN S/A ON N2,Klabin SA,BRKLBNACNOR2,BRL,KLBN3,ON,370017.0,none
brazil,GAFISA ON,Gafisa SA,BRGFSAACNOR3,BRL,GFSA3,ON,359502.0,none
brazil,TRISUL ON,Trisul SA,BRTRISACNOR4,BRL,TRIS3,ON,357914.0,none
brazil,International Meal Company,International Meal Company,BRMEALACNOR9,BRL,MEAL3,ON,356937.0,none
